********************************************************************************
Field Output Report, written Wed Apr 16 15:17:29 2025

Source 1
---------

   ODB: C:/lnms/Vid/cross-hole/cross-hole-U.odb
   Step: loading
   Frame: Increment      0: Step Time =    0.000

Loc 1 : Integration point values from source 1

Output sorted by column "Element Label".

Field Output reported at integration points for region: SPECIMEN-1.Region_1

          Element              Int            S.S11            S.S22            S.S33            S.S12
            Label               Pt           @Loc 1           @Loc 1           @Loc 1           @Loc 1
-------------------------------------------------------------------------------------------------------
               39                1       109.433571       95.7175293               0.      -17.9272995
               39                2       119.131836       75.7560272               0.      -9.74143410
               39                3       114.879051       88.9561920               0.      -20.0212193
               39                4       120.900757       71.6875534               0.      -14.5636530
               40                1       115.690567       34.3677139               0.      -24.8968868
               40                2       142.237930       59.1086044               0.      -15.0837374
               40                3       83.5333633       22.7803726               0.      -50.0129814
               40                4       124.726334       50.8146362               0.      -38.0808678


********************************************************************************
Field Output Report, written Wed Apr 16 15:17:38 2025

Source 1
---------

   ODB: C:/lnms/Vid/cross-hole/cross-hole-U.odb
   Step: loading
   Frame: Increment      2: Step Time =   0.2000

Loc 1 : Integration point values from source 1

Output sorted by column "Element Label".

Field Output reported at integration points for region: SPECIMEN-1.Region_1

          Element              Int            S.S11            S.S22            S.S33            S.S12
            Label               Pt           @Loc 1           @Loc 1           @Loc 1           @Loc 1
-------------------------------------------------------------------------------------------------------
                1                1       162.143433       112.523346               0.      -78.7190781
                1                2       138.645355       106.769684               0.      -86.9186935
                1                3       136.485046       99.5245667               0.      -79.4928894
                1                4       111.821022       92.5729599               0.      -86.7643509
                2                1       101.398857       106.481987               0.      -87.4024506
                2                2       120.010246       143.394608               0.      -89.2408371
                2                3       110.013191       134.004150               0.      -80.3226547
                2                4       127.262543       170.500580               0.      -80.2947845
                3                1       83.9608536       162.928680               0.      -43.3628044
                3                2       88.8737488       177.149918               0.      -24.2701092
                3                3       56.7830544       108.590286               0.      -52.1457367
                3                4       64.5497437       128.601776               0.      -33.6269341
                4                1       128.710800       114.210747               0.      -19.0615311
                4                2       134.925125       84.3344727               0.      -10.8621674
                4                3       138.054169       109.372864               0.      -23.8989582
                4                4       141.180115       82.8598251               0.      -18.5139465
                5                1       138.667175       39.2183266               0.      -27.5142612
                5                2       178.141998       67.5181046               0.      -24.1477699
                5                3       124.798950       39.9696388               0.      -47.4147797
                5                4       164.483978       67.1633301               0.      -44.8086014
                6                1       170.500580       127.262543               0.      -80.2947845
                6                2       143.394608       120.010246               0.      -89.2408371
                6                3       134.004150       110.013191               0.      -80.3226547
                6                4       106.481987       101.398857               0.      -87.4024506
                7                1       92.5729599       111.821022               0.      -86.7643509
                7                2       106.769684       138.645355               0.      -86.9186935
                7                3       99.5245667       136.485046               0.      -79.4928894
                7                4       112.523346       162.143433               0.      -78.7190781
                8                1       67.1633301       164.483978               0.      -44.8086014
                8                2       67.5181046       178.141998               0.      -24.1477699
                8                3       39.9696388       124.798950               0.      -47.4147797
                8                4       39.2183266       138.667175               0.      -27.5142612
                9                1       82.8598251       141.180115               0.      -18.5139465
                9                2       84.3344727       134.925125               0.      -10.8621674
                9                3       109.372864       138.054169               0.      -23.8989582
                9                4       114.210747       128.710800               0.      -19.0615311
               10                1       128.601776       64.5497437               0.      -33.6269341
               10                2       177.149918       88.8737488               0.      -24.2701092
               10                3       108.590286       56.7830544               0.      -52.1457367
               10                4       162.928680       83.9608536               0.      -43.3628044
               11                1       112.523346       162.143433               0.       78.7190781
