********************************************************************************
Field Output Report, written Thu Apr 24 16:15:44 2025

Source 1
---------

   ODB: C:/lnms/Vid/CrossHoleSym/CrossHoleSymU.odb
   Step: loading
   Frame: Increment      0: Step Time =    0.000

Loc 1 : Integration point values from source 1

Output sorted by column "Element Label".

Field Output reported at integration points for region: SPECIMEN-1.Region_1

          Element              Int            S.S11            S.S22            S.S33            S.S12
            Label               Pt           @Loc 1           @Loc 1           @Loc 1           @Loc 1
-------------------------------------------------------------------------------------------------------
               10                4       164.654114       84.8144913               0.      -42.9631882
               11                1       111.996712       161.458725               0.       79.5213318
               11                2       107.190392       138.841431               0.       87.2685852
               11                3       98.6925354       136.138672               0.       80.1211319
               11                4       92.6838837       112.485634               0.       86.9846802
               12                1       106.222733       101.854271               0.       87.7448349
               12                2       143.567795       120.265831               0.       89.5406342
               12                3       134.378296       111.068192               0.       80.4417648
               12                4       171.291046       128.191742               0.       80.3029633
               13                1       164.654114       84.8144913               0.       42.9631882
               13                2       178.278030       88.1253738               0.       24.0593338
               13                3       111.333862       57.4551201               0.       50.9533424
               13                4       130.252869       63.1051712               0.       32.3881493
               14                1       116.481888       126.769356               0.       18.5990028
               14                2       86.5061417       133.532196               0.       11.0066414
               14                3       111.251984       135.928314               0.       23.9346409
               14                4       84.1720123       139.326935               0.       19.1667919
               15                1       67.1951981       145.702469               0.       24.7045517
               15                2       86.1387711       183.476944               0.       16.5769711
               15                3       42.5726166       124.181252               0.       47.1539879
               15                4       62.4188957       164.302628               0.       40.1632919
               16                1       128.191742       171.291046               0.       80.3029633
               16                2       120.265831       143.567795               0.       89.5406342
               16                3       111.068192       134.378296               0.       80.4417648
               16                4       101.854271       106.222733               0.       87.7448349
               17                1       112.485634       92.6838837               0.       86.9846802
               17                2       138.841431       107.190392               0.       87.2685852
               17                3       136.138672       98.6925354               0.       80.1211319
               17                4       161.458725       111.996712               0.       79.5213318
               18                1       164.302628       62.4188957               0.       40.1632919
               18                2       183.476944       86.1387711               0.       16.5769711
               18                3       124.181252       42.5726166               0.       47.1539879
               18                4       145.702469       67.1951981               0.       24.7045517
               19                1       139.326935       84.1720123               0.       19.1667919
               19                2       133.532196       86.5061417               0.       11.0066414
               19                3       135.928314       111.251984               0.       23.9346409
               19                4       126.769356       116.481888               0.       18.5990028
               20                1       63.1051712       130.252869               0.       32.3881493
               20                2       88.1253738       178.278030               0.       24.0593338
               20                3       57.4551201       111.333862               0.       50.9533424
               20                4       84.8144913       164.654114               0.       42.9631882
               21                1       171.291046       128.191742               0.      -80.3029633
               21                2       143.567795       120.265831               0.      -89.5406342
               21                3       134.378296       111.068192               0.      -80.4417648
               21                4       106.222733       101.854271               0.      -87.7448349
               22                1       92.6838837       112.485634               0.      -86.9846802
               22                2       107.190392       138.841431               0.      -87.2685852
               22                3       98.6925354       136.138672               0.      -80.1211319
               22                4       111.996712       161.458725               0.      -79.5213318
               23                1       62.4188957       164.302628               0.      -40.1632919
               23                2       86.1387711       183.476944               0.      -16.5769711
               23                3       42.5726166       124.181252               0.      -47.1539879
               23                4       67.1951981       145.702469               0.      -24.7045517
               24                1       84.1720123       139.326935               0.      -19.1667919
               24                2       86.5061417       133.532196               0.      -11.0066414
               24                3       111.251984       135.928314               0.      -23.9346409
