********************************************************************************
Field Output Report, written Thu Apr 24 12:36:35 2025

Source 1
---------

   ODB: C:/lnms/Vid/cross-hole/PopravljeniRP2.odb
   Step: loading
   Frame: Increment      0: Step Time =    0.000

Loc 1 : Integration point values from source 1

Output sorted by column "Element Label".

Field Output reported at integration points for region: SPECIMEN-1.Region_1

          Element              Int            S.S11            S.S22            S.S33            S.S12
            Label               Pt           @Loc 1           @Loc 1           @Loc 1           @Loc 1
-------------------------------------------------------------------------------------------------------
               40                2   4.49677686E+03   1.16843213E+03               0.   1.57088184E+03
               40                3   2.69790308E+03       334.096771               0.       999.720581
               40                4   4.07878027E+03       591.293152               0.       924.938416


********************************************************************************
Field Output Report, written Thu Apr 24 12:37:09 2025

Source 1
---------

   ODB: C:/lnms/Vid/cross-hole/PopravljeniRP2.odb
   Step: loading
   Frame: Increment      2: Step Time =   0.2000

Loc 1 : Integration point values from source 1

Output sorted by column "Element Label".

Field Output reported at integration points for region: SPECIMEN-1.Region_1

          Element              Int            S.S11            S.S22            S.S33            S.S12
            Label               Pt           @Loc 1           @Loc 1           @Loc 1           @Loc 1
-------------------------------------------------------------------------------------------------------
                1                1   20.8965078E+03   13.5606660E+03               0.  -12.3386602E+03
                1                2   18.2049297E+03   16.2975557E+03               0.  -13.1126123E+03
                1                3   14.6672793E+03   9.26440430E+03               0.  -9.66443066E+03
                1                4   11.9803936E+03   11.2875195E+03               0.  -10.1395322E+03
                2                1   10.4522676E+03   12.5315957E+03               0.  -9.01044629E+03
                2                2   11.7752529E+03   14.5118467E+03               0.  -9.85129297E+03
                2                3   10.1984590E+03   13.3955566E+03               0.  -8.86407129E+03
                2                4   11.2917617E+03   15.4295664E+03               0.  -9.56348828E+03
                3                1   7.78401416E+03   14.8641465E+03               0.  -6.37106641E+03
                3                2   7.33372803E+03   15.2671357E+03               0.  -5.19797949E+03
                3                3   6.36659863E+03   10.8365547E+03               0.  -5.67534326E+03
                3                4   6.00085254E+03   11.0133027E+03               0.   -4.8078125E+03
                4                1   11.5039883E+03   9.80539258E+03               0.  -5.81777637E+03
                4                2   10.1633408E+03   4.95332910E+03               0.  -4.96761182E+03
                4                3   13.4918936E+03     10.11475E+03               0.  -7.09834033E+03
                4                4   12.3795107E+03   5.57490283E+03               0.  -6.40629492E+03
                5                1   13.6867715E+03   4.94290527E+03               0.  -7.23494873E+03
                5                2   17.4717324E+03   6.34443311E+03               0.  -8.14665234E+03
                5                3   13.7559648E+03   6.59205078E+03               0.  -8.26157520E+03
                5                4   17.3146484E+03    8.4261875E+03               0.  -9.43596289E+03
                6                1   7.23870020E+03   4.52725195E+03               0.  -1.61615137E+03
                6                2   5.29157080E+03   4.10593652E+03               0.  -2.44887671E+03
                6                3   3.94836279E+03   3.42798340E+03               0.      -944.501892
                6                4   2.19935278E+03   3.01603149E+03               0.  -1.49204456E+03
                7                1   1.44572546E+03   3.11619922E+03               0.      -776.783691
                7                2      -221.603348   2.44601807E+03               0.      -68.2161789
                7                3   2.81919507E+03   3.41975708E+03               0.      -409.140991
                7                4   1.57054761E+03   2.86305078E+03               0.       320.734711
